INDEX,TYPE,GROUP,DAY,TIME,COURSE_ID,course_name
10129,LEC/STUDIO,CS1,MON,1030-1130,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10129,SEM,DSAI1,MON,1430-1530,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10129,SEM,DSAI1,MON,1530-1630,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10130,LEC/STUDIO,CS1,MON,1030-1130,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10130,SEM,DSAI2,WED,1230-1330,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10130,SEM,DSAI2,WED,1330-1430,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10131,LEC/STUDIO,CS1,MON,1030-1130,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10131,SEM,FS1,FRI,1430-1530,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10131,SEM,FS1,FRI,1530-1630,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10132,LEC/STUDIO,CS1,MON,1030-1130,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10132,SEM,FS10,TUE,1430-1530,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10132,SEM,FS10,TUE,1530-1630,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10133,LEC/STUDIO,CS1,MON,1030-1130,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10133,SEM,FS11,WED,1430-1530,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10133,SEM,FS11,WED,1530-1630,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10134,LEC/STUDIO,CS1,MON,1030-1130,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10134,SEM,FS2,FRI,1430-1530,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10134,SEM,FS2,FRI,1530-1630,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10135,LEC/STUDIO,CS1,MON,1030-1130,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10135,SEM,FS3,MON,1430-1530,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10135,SEM,FS3,MON,1530-1630,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10136,LEC/STUDIO,CS1,MON,1030-1130,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10136,SEM,FS4,MON,1230-1330,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10136,SEM,FS4,MON,1330-1430,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10137,LEC/STUDIO,CS1,MON,1030-1130,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10137,SEM,FS5,TUE,0830-0930,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10137,SEM,FS5,TUE,0930-1030,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10138,LEC/STUDIO,CS1,MON,1030-1130,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10138,SEM,FS6,THU,1330-1430,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10138,SEM,FS6,THU,1430-1530,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10139,LEC/STUDIO,CS1,MON,1030-1130,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10139,SEM,FS7,THU,1330-1430,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10139,SEM,FS7,THU,1430-1530,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10140,LEC/STUDIO,CS1,MON,1030-1130,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10140,SEM,FS8,WED,1430-1530,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10140,SEM,FS8,WED,1530-1630,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10141,LEC/STUDIO,CS1,MON,1030-1130,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10141,SEM,FS9,TUE,0830-0930,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10141,SEM,FS9,TUE,0930-1030,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10142,LEC/STUDIO,CS1,MON,1030-1130,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10142,SEM,MACS,FRI,1430-1530,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10142,SEM,MACS,FRI,1530-1630,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10321,LEC/STUDIO,CS1,MON,1030-1130,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10321,SEM,FS12,WED,1430-1530,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10321,SEM,FS12,WED,1530-1630,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10322,LEC/STUDIO,CS1,MON,1030-1130,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10322,SEM,FS13,THU,1330-1430,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
10322,SEM,FS13,THU,1430-1530,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
13822,LEC/STUDIO,CS1,MON,1030-1130,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
13822,SEM,DD1,FRI,1230-1330,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
13822,SEM,DD1,FRI,1330-1430,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
13823,LEC/STUDIO,CS1,MON,1030-1130,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
13823,SEM,DD2,FRI,1430-1530,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
13823,SEM,DD2,FRI,1530-1630,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
13824,LEC/STUDIO,CS1,MON,1030-1130,CZ1003,  INTRODUCTION TO COMPUTATIONAL THINKING
